utt_id,seed,n_cands,mbr_idx,mbr_hyp
4323-18416-0006-86,42,1,0,assuredly said old mister king with great satisfaction in polly s pleasure and at her success in drawing charlotte out
4323-18416-0007-87,42,3,0,and after this there were no more quiet days for charlotte chatterton
4323-18416-0008-88,42,13,0,oh bless me it s you phronsie in pleased surprise
4323-18416-0009-89,42,2,0,yes grandpapa said phronsie coming in and shutting the door carefully i came on purpose to see you all alone
4323-18416-0010-90,42,2,0,so you did dear said mister king highly gratified and pushing away his writing table he held out his hand
4323-18416-0011-91,42,5,4,oh no grandpapa cried pronsie in a rapture i could never be too big for that so she perched up as of old on his knee then she folded her hands and looked gravely in his face
4323-18416-0012-92,42,1,0,well my dear what is it
4323-18416-0013-93,42,1,0,asked the old gentleman presently you ve come to tell me something i suppose
4323-18416-0014-94,42,5,0,yes grandpapa i have said phronsie decidedly and it is most important too grandpapa and oh i do wish it so much and she clasped her hands tighter inside
4323-18416-0015-95,42,3,2,well then phronsie if you want it i suppose it must be said mister king quite as a matter of course
4323-18416-0016-96,42,3,0,oh she left you everything she had phronsie a couple of millions or so it is why
4323-18416-0017-97,42,16,7,charlotte por repeated the old gentleman
4323-18416-0018-98,42,4,0,why no not exactly her father isn t rich but charlotte i think may do very well especially as i intend to keep her here for a while and then i shall never let her suffer phronsie never indeed
4323-18416-0019-99,42,4,2,grandpapa said phronsie wasnt missus chatterton aunt to charlotte
4323-18416-0020-100,42,10,0,if missus chatterton was aunt to charlotte persisted phronsie slowly it seems as if charlotte ought to have some of the money it really does grandpapa
4323-18416-0021-101,42,12,0,maybe said the old gentleman with a short laugh and i shouldn t wonder if cousin eunus was sorry over a few other things too phronsie
4323-18416-0022-102,42,2,0,wouldn t it make her very glad if i gave charlotte some of the money
4323-18416-0023-103,42,2,0,for answer mister king set her down hastily on the floor and took two or three turns up and down the room
4323-18416-0024-104,42,3,1,oh i do so wish i might she said theres so much for a little girl like me
4323-18416-0025-105,42,2,0,it would be so nice to have charlotte have some with me still no answer
4323-18416-0026-106,42,3,0,i was writing a note to missus fargo said phronsie putting up her lips for a kiss
4323-18416-0027-107,42,4,0,sure as i can be phronsie said old mister king smiling good bye dear
4323-18416-0028-108,42,4,0,there there my sister s boy shall never say that but come in come in
4323-18416-0029-109,42,3,0,not to be ungracious the young man threw himself into a chair
4323-18416-0030-110,42,4,0,oh hang it uncle why can t you let me alone
4323-18416-0031-111,42,1,0,which is a wonder interpolated pickering
4323-18416-0032-112,42,4,0,i know you did uncle said pickering you ve done everything that s good
4323-18416-0033-113,42,6,0,for heaven s sake pickering cried his uncle darting in front of the chair in its restless occupant don t say that again
4323-18416-0034-114,42,11,0,i ve been a lazy dog all my life and a good for naught but i hope i ve not sunk to that
2506-11278-0000-115,42,16,6,when a gross instance of snobbishness happens why should not the indignant journalist cause a public attention to that delicacy too
2506-11278-0001-116,42,16,11,how for instance could that wonderful kate of the earl of mangelverza and his brother be examined in the snobbish point of view
2506-11278-0002-117,42,16,11,all we require is that a man should be recommended to us by the earl of mangel shire
2506-11278-0003-118,42,16,1,oh you pride of all nor blend
2506-11278-0004-119,42,16,2,overcrawling truckling self confessed lackeys and parasites
2506-11278-0005-120,42,16,1,it was her snobbish sentiment that misled her and made her vanities a prey to the swindling fortune teller
2506-11278-0006-121,42,16,3,how would you account for the prodigious benevolence exercise to was the interesting you french lady
2506-11278-0007-122,42,12,0,the honest boarding house people were at her feet at once
2506-11278-0008-123,42,16,0,good honour simple lord loving children of snotpland
2506-11278-0009-124,42,16,8,finally there was a case of deride honorable mister vern and at york
2506-11278-0010-125,42,16,0,the right honourable was the son of a nobleman and practised on an old lady
2506-11278-0011-126,42,3,0,then he cast his nets over a family of father mother and daughters one of whom he proposed to marry
2506-11278-0012-127,42,16,1,one day the trader fled with a tea water and a basket full of cold pictures
2506-11278-0013-128,42,16,0,it was a right honourable which baited the hook which gorge all these greedy simple snobs
2506-11278-0014-129,42,16,5,would they have been taken in by commna
2506-11278-0015-130,42,4,0,alas and alas what mortal man that speaks the truth can hope for such a landlady
2506-11278-0016-131,42,10,1,and yet all these instances of fond and credulous snobbishness have occurred on the same week s paper with who knows how many score more
2506-11278-0017-132,42,2,0,we are three sisters from seventeen to twenty two
2506-11278-0018-133,42,16,4,we are just the same to persons who always a handle to his en aim as des urge was out it
2506-11278-0019-134,42,5,0,if you do i cannot help it but i am of a sanguine disposition and entertain a lingering hope
2506-11278-0020-135,42,16,0,excuse this girl but i always ride headlong
2506-11278-0021-136,42,16,0,we never write on perfumed paper in short i can t help thinking that if you knew us you would not sink a snops
2506-11278-0022-137,42,16,13,i shall have a black craper round my white head and my usual bamboo cane with a richly gilt knof
2506-11278-0023-138,42,11,0,i am sorry there will be no time to get up moustaches between now and next week
2506-11278-0024-139,42,16,3,from seventeen to two and twenty you gods what ages
2506-11278-0025-140,42,3,0,dear young creatures i can see you all three
2506-11278-0026-141,42,16,5,seventeen suites me as near as my own time of life but might i don t say two and twenties too old
2506-11278-0027-142,42,16,1,no no i am that pretty roguish demure middle one
2506-11278-0028-143,42,16,5,pease pease the silly little fluttering har
2506-11278-0029-144,42,13,0,you snobs dear young ladies
2506-11278-0030-145,42,2,0,i will pull any man s nose who says so
2506-11278-0031-146,42,1,0,there is no harm in being of a good family
2506-11278-0032-147,42,16,8,you can t help it poor dears what s in a name
2506-11278-0033-148,42,16,3,that very confident savour of arrogance and to be arrogant is to be a snob
2506-11278-0034-149,42,16,0,but are there no cunly natures no tender hearts no souls humble simple and truth loving
2506-11278-0035-150,42,16,0,ponder well on this question sweet young ladies
2506-11267-0000-151,42,14,3,i see shores of them depart not perhaps without an innate longing too to get the island along with those happy knobs
2506-11267-0001-152,42,16,12,farewell dear friends i say you little know that the individual who regards you from the beach is your friend and historiographer and proser
2506-11267-0002-153,42,16,9,i went to day to see our excellent friend snoaks on board the queen of the french many scores of snobs were there on the deck of that fine ship marching forth in their pride and bravery
2506-11267-0003-154,42,16,1,they will be at ostent in four hours they will inundate the continent next week they will carry into far lands the famous image of the british snop
2506-11267-0004-155,42,16,0,i have seen snobs in pink coats and hunting boots scouring over the campanion of rome and have heard as their roads and their well known slang in the galleries of the vatican and under the shadowy arches of the colosseum
2506-11267-0005-156,42,4,0,my lady marchioness comes on board looks round with that happy air of mingled terror and impertinence which distinguishes her ladyship and rushes to her carriage for it is impossible that she should mingle with the other snobs on deck
2506-11267-0006-157,42,1,0,there she sits and will be ill in private
2506-11267-0007-158,42,16,0,the strawberry leaves on her chariot panels are ingraed on her ladyship s heart
2506-11267-0008-159,42,16,5,and davas you d best take the pistol case into his cabin
2506-11267-0009-160,42,16,1,look at honest nason honsditch and his lady and their little son
2506-11267-0010-161,42,4,2,what a noble air of blazing contentment illumines the features of those snobs of eastern rays
2506-11267-0011-162,42,16,0,what the toilet hound ditches is
2506-11267-0012-163,42,5,0,he will never spare himself any cheap enjoyment
2506-11267-0013-164,42,16,0,i have said before i like to look at the peoples on their gala days they are so picturesqueically and outrageously splendid and happy
2506-11267-0014-165,42,16,1,yonder comes captain bull spick and span tied and trim who travels for four or six months every year of his life who does not commit himself by luxury of raiment or insolence of demeanour but i think is as great a stoop as any man on board
2506-11267-0015-166,42,16,1,bob passes a season in london sponging for dinners and sleeping in a garret near his club
2506-11267-0016-167,42,16,2,see he is up to old cabas already i told you he would
2506-11267-0017-168,42,16,10,that broad shouldered book with the great whiskers and the cleaned white kidgloves is mister fellum clancy of paul dudies toown he calls himself mister du clancille he endeavours to disguise his native broke with the richest superposition of english and if you play at billiards or a cart with him the chances are that you will win the first game and he the seven or eight games ensuing
2506-11267-0018-169,42,16,13,the next person is bithak
2506-13150-0000-170,42,16,2,pray captain cries i as i was going down into the cabin is a man never overtaken by des in this passage
2506-13150-0001-171,42,16,7,why there s no time for a man to be sick in it replied he what a cursed liar for i am sick as a horse quoes i already what a brain upside down hey day
2506-13150-0002-172,42,1,0,sick sick
2506-13150-0003-173,42,1,0,sick sick
2506-13150-0004-174,42,4,0,when shall we get to land
2506-13150-0005-175,42,16,0,the wind chopped about
2506-13150-0006-176,42,16,8,is death then i shall meet him full in the face
2506-13150-0007-177,42,16,1,captain quo she for heaven s sake let us get ashore
2506-13150-0008-178,42,16,6,was not democrators who laughd ten times more than i town clerk of adeira
2506-13150-0009-179,42,4,1,nay if you don t believe me you may read this chapter for your pains
2506-169427-0000-180,42,16,1,interest however still runs on in both cases the periodical or accidental payment of it just serving to keep the memory of the affair alive till at length in some evil hour pob comes a creditor upon each and by demanding principle upon the spot together with full interest to the very day makes them both feel the full extent of their oblications
2506-169427-0001-181,42,16,0,as a reader for i hate your wraves has a thorough knowledge of human nature i need not say more to satisfy him that my hero could not go on at this rate without some slight experience of these incidental mementos
2506-169427-0002-182,42,16,6,to speak the truth he had wantonly involved himself in a multitude of small book debts of this stamp which notwithstanding eugenius s frequent advice he too much disregarded thinking that as not one of them was contracted through any malignancy but on the contrary from an honesty of mind and the mere hucundity of humour they would all of them be crossed out in cause
2506-169427-0003-183,42,16,10,eugenius would never admit this and would often tell him that one day or rother he would certainly be reckoned with and he would often add in an accent of sorrowful apprehension to the uttermost might
2506-169427-0004-184,42,8,0,what inclined eugenius to the same opinion was as follows
2506-169427-0005-185,42,16,0,yorik followed eugenus with his eyes to the door he then close to them and never opened them more
2506-169427-0006-186,42,16,7,alas peoric
4515-11057-0000-187,42,2,0,yet so strong was the effect upon him of contemplating a large fortune that in despite of reason and desire he lived in eager expectation of the word which should make him rich
4515-11057-0001-188,42,9,0,a part of that impression was due to the engagement which he must now fulfill
4515-11057-0002-189,42,1,0,to shuffle out of this duty would make him too ignoble even in his own eyes
4515-11057-0003-190,42,16,0,because in his sollad days he dallied with a girl who had indeed many charms step by step he had come to the necessity of sacrificing his prospects to that raw attachment
4515-11057-0004-191,42,2,0,unable to think of work he left the house and wandered gloomily about regent s park
4515-11057-0005-192,42,5,1,he felt himself ill used by destiny and therefore by marion who was fate s instrument
4515-11057-0006-193,42,3,0,he wrote to marian
4515-11057-0007-194,42,4,1,will you let me hear orll come and see me
4515-11057-0008-195,42,16,4,i scarcely thought of beffin as likely to kill himself
4515-11057-0009-196,42,5,4,but why the jeice did he go all the way out there
4515-11057-0010-197,42,2,1,i hoped he would bring me some news
4515-11057-0011-198,42,1,0,poverty i can only suppose
4515-11057-0012-199,42,16,5,but i will see whelpdale i hadn t come across biffin for a long time
4515-11057-0013-200,42,1,0,was he still so very poor
4515-11057-0014-201,42,1,0,asked amy compassionately
4515-11057-0015-202,42,4,0,i am afraid so his book failed utterly
4515-11057-0016-203,42,1,0,oh if i had imagined him still in such distress surely i might have done something to help him
4515-11057-0017-204,42,2,0,perchance his death was in part attributable to that hopeless love
4515-11057-0018-205,42,1,0,he sent me a copy of his novel she said and i saw him once or twice after that
4515-11057-0019-206,42,1,0,having this subject to converse upon put the two more quickly at east than could otherwise have been the case
4515-11057-0020-207,42,1,0,amy might take a foremost place among brilliant women
4515-11057-0021-208,42,1,0,especially now that her father is threatened with blindness
4515-11057-0022-209,42,1,0,is it so serious
4515-11057-0023-210,42,12,1,even if mister yule recovers his sight it is not at all likely that he will be able to work as before
4515-11057-0024-211,42,1,0,our difficulties are so grave that
4515-11057-0025-212,42,2,0,he paused and let his hand fail despondently
4515-11057-0026-213,42,4,0,i have a good deal of will you remember and what i have set my mind upon no doubt i shall some day achieve
4515-11057-0027-214,42,1,0,there was silence
4515-11057-0028-215,42,1,0,the last three years he continued have made no slight difference in my position
4515-11057-0029-216,42,1,0,recall where i stood when you first knew me
4515-11057-0030-217,42,1,0,just now i am in need of a little encouragement
4515-11057-0031-218,42,1,0,you don t notice any falling off in my work recently
4515-11057-0032-219,42,1,0,do you see my things in the current and so on generally
4515-11057-0033-220,42,1,0,sometimes i believe i have detected you when there was no signature
4515-11057-0034-221,42,3,0,her story in that girl s paper has attracted attention
4515-11057-0035-222,42,1,0,and i could so easily put her at rest by renouncing all claim upon her
4515-11057-0036-223,42,11,5,i surmised that that you yourself would also be put at rest by such a decision
4515-11057-0037-224,42,1,0,don t look at me with that ironical smile he pleaded
4515-11057-0038-225,42,8,6,i couldn t go about declaring that i was heartbroken in any event i must be content for people to judge me according to their disposition and judgements are pretty sure to be unfavourable what can i do
4515-11057-0039-226,42,1,0,the case is too delicate i fear for my advice
4515-11057-0040-227,42,9,0,well i ll go back to my scribbling
4515-11057-0041-228,42,4,0,again jasper held the white soft hand for a superfluous moment
4515-11057-0042-229,42,1,0,yet for such feelings he reproached himself and the reproach made him angry
4515-11057-0043-230,42,2,1,marion could not mistake the air of restless trouble on her companion s smooth countenance
4515-11057-0044-231,42,5,0,she had divined that there was some grave reason for this summons and the panting with which she approached was half caused by the anxious beats of her heart
4515-11057-0045-232,42,1,0,he began abruptly
4515-11057-0046-233,42,1,0,he gave her such details as he had obtained then added
4515-11057-0047-234,42,2,1,there were two of my companions fallen in the battle
4515-11057-0048-235,42,4,0,i ought to think myself a lucky fellow marian what
4515-11057-0049-236,42,3,0,you are better fitted to fight your way jasper
4515-11057-0050-237,42,16,7,more of a bre you mean
4515-11057-0051-238,42,7,0,you know very well i don t
4515-11057-0052-239,42,1,0,i have made up my mind about our affairs he went on presently
4515-11057-0053-240,42,3,0,this
4515-11057-0054-241,42,3,2,will you marry me and let us take our chance
4515-11057-0055-242,42,1,0,you feel yourself indispensable to your father at present
4515-11057-0056-243,42,1,0,i should be so afraid of the effect upon his health jasper
4515-11057-0057-244,42,1,0,she paused and looked up at him touchingly
4515-11057-0058-245,42,3,0,dear i can t feel it would be my duty to renounce you because my father had become blind
4515-11057-0059-246,42,1,0,has one thing occurred to you
4515-11057-0060-247,42,16,0,will he consent to receive an allowance from a person whose name is missus lilvain
4515-11057-0061-248,42,1,0,and if he obstinately refuses what then what is before him
4515-11057-0062-249,42,1,0,she listened anxiously and reflected
4515-11057-0063-250,42,1,0,as i have said there is a very serious doubt whether your father would accept money from you when you were my wife
4515-11057-0064-251,42,3,0,it isn t your fault marian and well then there s only one thing to do
4515-11057-0065-252,42,3,0,accept jasper that if father is helpless i must find means of assuring his support
4515-11057-0066-253,42,2,0,do you think them insurmountable
4515-11057-0067-254,42,2,1,that is just what i have decided is impossible marion you shall have the plain truth
4515-11057-0068-255,42,1,0,i don t trust myself
4515-11057-0069-256,42,1,0,but shall you face them willingly
4515-11057-0070-257,42,3,0,put up your umbrella marian
4515-11057-0071-258,42,1,0,what do i care for a drop of rain she exclaimed with passionate sadness when all my life is at stake how am i to understand you
4515-11057-0072-259,42,2,0,every word you speak seems intended to dishearten me
4515-11057-0073-260,42,2,0,why need you conceal it if that is the truth
4515-11057-0074-261,42,1,0,is that what you mean by saying you distrust yourself
4515-11057-0075-262,42,2,1,we must see each other again marion
4515-11057-0076-263,42,1,0,how am i to live an hour in such uncertainty as this
4515-11057-0077-264,42,1,0,i do wish it
4515-11057-0078-265,42,1,0,her emotion had an effect on him and his voice trembled
4515-11057-0079-266,42,3,0,there is no natural law that a child should surrender everything for her parents
4515-11057-0080-267,42,1,0,you know so much more of the world than i do can t you advise me
4515-11057-0081-268,42,1,0,is there no way of providing for my father
4515-11057-0082-269,42,2,0,good god this is frightful marian i can t stand it
4515-11057-0083-270,42,1,0,i will be faithful to you
4515-11057-0084-271,42,9,5,he had made a pretence of holding his umbrella over her but marian turned away and walked to a little distance and stood beneath the shelter of a great tree her face averted from him
4515-11057-0085-272,42,1,0,moving to follow he saw that her frame was shaken by soundless sobbing
4515-11057-0086-273,42,1,0,in what can there be more selfishness
4515-11057-0087-274,42,1,0,but i couldn t say a word that would seem to invite such misery as this
4515-11057-0088-275,42,2,0,you don t love me jasper and that s an end of everything
4515-11057-0089-276,42,1,0,happiness or misery come to us by fate
4515-11057-0090-277,42,6,0,is it in my power to make you happy
4515-11057-0091-278,42,1,0,but if you had said you loved me before that i should have it always to remember
4515-11057-0092-279,42,6,0,if i believe anything i believe that i did love you
4515-11057-0093-280,42,1,0,what can you say to me more than you have said now
4515-11057-0094-281,42,4,0,remember me as a man who disregarded priceless loves such as yours to go and make himself a proud position among fools and knaves indeed that s what it s come to
4515-11057-0095-282,42,2,1,soon enough he would thoroughly despise me and though i should know it was merited my perverse pride would revolt against it
4515-11057-0096-283,42,1,0,what can be simpler than the truth
4515-11057-0097-284,42,2,0,it is a thing that happens every day either in a man or woman and all that honour demands is the courage to confess the truth
4515-11057-0098-285,42,5,2,marian will you do this will you let her engagement last for another six months but without her meeting during that time
4515-11057-0099-286,42,2,0,that seems to me childish
4515-11057-0100-287,42,2,0,the rain fell unceasingly and with it began to mingle an autumnal mist
4515-11057-0101-288,42,1,0,jasper delayed a moment then asked calmly
4515-11057-0102-289,42,1,0,are you going to the museum yes
4515-11057-0103-290,42,2,1,go home again for this morning marion you can t work
4515-11057-0104-291,42,2,0,i must and i have no time to lose
4515-11057-0105-292,42,5,0,good bye she gave him her hand
4515-11057-0106-293,42,3,1,they looked at each other for an instant then marion left the shelter of the tree opened her umbrella and walked quickly away
4515-11057-0107-294,42,3,1,jasper did not watch her he had the face of a man who was suffering a severe humiliation
4515-11057-0108-295,42,7,1,his sister said very little for she recognized genuine suffering in his tones and aspect
4515-11057-0109-296,42,4,0,a few weeks ago he actually proposed to a woman for whom he does not pretend to have the slightest affection but who is very rich and who seemed likely to be foolish enough to marry him
4515-11057-0110-297,42,1,0,yesterday morning he received her final answer a refusal
4515-11057-0111-298,42,2,0,you will understand though surely you need no fresh proof how utterly unworthy he is of you
4515-11057-0112-299,42,4,3,you re the only friend i have of my own sex and i could not bear to lose you
4515-11057-0113-300,42,1,0,several days passed before there came a reply
4515-11057-0114-301,42,3,0,i must only ask that you will write to me without the least reference to these troubles tell me always about yourself and be sure that you cannot tell me too much
5849-50873-0000-302,42,16,4,captain bull the commander of a small garrison at seabrook permitted him to land but when the governor began to read his commission bull ordered him to be silent
5849-50873-0001-303,42,16,3,what has happened mister prince wadsworth asked for he could see that the man was greatly excited governor andrews has come again gasped mister prince why should that alarm us the fellow though given to boasting is not dangerous or liable to put his threats into execution but he has grown dangerous declared mister prince the liberties of the colony are involved
5849-50873-0002-304,42,5,0,captain wadsworth became a little uneasy though he was still inclined to treat the matter lightly
5849-50873-0003-305,42,4,0,we have stubbornly refused to yield our charter voluntarily for it is the guardian of our political rights
5849-50873-0004-306,42,16,3,that is true captain wadsworth continued mister prince and to subdue our stubbornness this vistori has come to hertford with sixty armed men to demand the surrender of the charter in person
5849-50873-0005-307,42,16,0,captain wasworth bounded to his feet in a rage and placing his hand on the hilt of the sword declared he shall not have it
5849-50873-0006-308,42,9,7,the day was well nigh spent when he arrived and the members were engaged in a heated debate on a subject of the utmost importance
5849-50873-0007-309,42,3,0,he consented however to await the discussion but as soon as it was ended he declared that he would have the charter
5849-50873-0008-310,42,2,0,after that captain had taken two or three turns across the room he paused and asked
5849-50873-0009-311,42,3,0,what is the assembly doing engaged in a debate
5849-50873-0010-312,42,3,0,and will he wait until it has ended he has promised to do so
5849-50873-0011-313,42,3,0,mister prince fixed his amazed eyes on the captain s face and read there a desperate determination captain he began
5849-50873-0012-314,42,2,0,mister prince bowed and hastily returned to the house where the assembly was in session
5849-50873-0013-315,42,6,1,as soon as he was gone charles stephens said
5849-50873-0014-316,42,3,1,yes charles he will answer what do you mean uncle
5849-50873-0015-317,42,11,0,never did debaters take greater interest in a minor subject
5849-50873-0016-318,42,2,0,what do you intend doing uncle will you fight them
5849-50873-0017-319,42,6,0,remember the work must be done right at the time not too soon nor too late
5849-50873-0018-320,42,1,0,the sun was setting and the captain said
5849-50873-0019-321,42,1,0,come charles let us hasten to the assembly
5849-50873-0020-322,42,1,0,by no means but i want you to be fully impressed with the seriousness of your mission
